Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,53,3,16,"3, 4, 5, 9,12,14,15,19,20","16, 1, 2, 6, 7, 8,10,11,13,17,18",1350,1650,71.318,98.58,1278.682,1551.42,3000,2830.102,1415.051,9,11,"0,67,109,121,176,199,247,296.2,328.59,356.59","0,28,125,154,171,231,303.5,363.1,401.3,440.7,466.8,492.9"
1,54,3,17,"3, 4, 5, 8,12,14,15,19,20","17, 1, 2, 6, 7, 9,10,11,13,16,18",1350,1650,76.118,148.24,1273.882,1501.76,3000,2775.642,1387.821,9,11,"0,67,109,176,200,223,271,320.2,352.59,380.59","0,55,152,181,198,240,307.1,366.7,404.9,454.1,715.1,741.2"
1,55,3,18,"3, 4, 5, 7, 8,12,14,15,19,20","18, 1, 2, 6, 9,10,11,13,16,17",1500,1500,82.918,94.2,1417.082,1405.8,3000,2822.882,1411.441,10,10,"0,67,109,150,210,234,257,305,354.2,386.59,414.59","0,48,145,174,204,271.1,330.7,368.9,418.1,444.9,471"
1,56,3,19,"3, 4, 5, 9,11,13,16,17,18","19, 1, 2, 6, 7, 8,10,12,14,15,20",1350,1650,68.76,111.186,1281.24,1538.814,3000,2820.054,1410.027,9,11,"0,67,109,121,141.5,179.7,228.9,255.7,281.8,343.8","0,95,192,221,238,298,370.5,435.5,458.5,506.5,523.53,555.93"
1,57,3,20,"3, 4, 5, 9,10,11,13,16,17,18","20, 1, 2, 6, 7, 8,12,14,15,19",1500,1500,90,91.718,1410,1408.282,3000,2818.282,1409.141,10,10,"0,67,109,121,188.1,247.7,285.9,335.1,361.9,388,450","0,79,176,205,222,282,306,329,377,426.2,458.59"
1,58,4,1,"4, 5, 9,11,13,16,17,18","1, 2, 3, 6, 7, 8,10,12,14,15,19,20",1200,1800,50.36,126.818,1149.64,1673.182,3000,2822.822,1411.411,8,12,"0,42,54,74.5,112.7,161.9,188.7,214.8,251.8","0,97,150,188,205,265,337.5,402.5,425.5,473.5,522.7,555.09,634.09"
1,59,4,2,"4, 1, 5, 9,10,11,13,16,17,18","2, 3, 6, 7, 8,12,14,15,19,20",1500,1500,77.2,80.518,1422.8,1419.482,3000,2842.282,1421.141,10,10,"0,21,70,82,149.1,208.7,246.9,296.1,322.9,349,386","0,53,91,108,168,192,215,263,312.2,344.59,402.59"
1,60,4,3,"4, 5, 9,11,13,16,17,18","3, 1, 2, 6, 7, 8,10,12,14,15,19,20",1200,1800,50.36,115.218,1149.64,1684.782,3000,2834.422,1417.211,8,12,"0,42,54,74.5,112.7,161.9,188.7,214.8,251.8","0,55,152,181,198,258,330.5,395.5,418.5,466.5,515.7,548.09,576.09"
1,61,4,5,"4, 1, 2, 3, 6, 7, 8,10,12,14,15,19,20","5, 9,11,13,16,17,18",1950,1050,134.018,36.96,1815.982,1013.04,3000,2829.022,1414.511,13,7,"0,21,118,171,209,226,286,358.5,423.5,446.5,494.5,543.7,576.09,670.09","0,12,32.5,70.7,119.9,146.7,172.8,184.8"
1,62,4,6,"4, 1, 2, 3, 5, 9,10,11,13,14,15,19,20","6, 7, 8,12,16,17,18",1950,1050,138.298,44.46,1811.702,1005.54,3000,2817.242,1408.621,13,7,"0,21,118,171,222,234,301.1,360.7,398.9,467.9,515.9,565.1,597.49,691.49","0,17,77,101,123.4,150.2,176.3,222.3"
1,63,4,7,"4, 1, 2, 3, 5, 6, 9,10,11,13,16,17,18","7, 8,12,14,15,19,20",1950,1050,118,55.318,1832,994.682,3000,2826.682,1413.341,13,7,"0,21,118,171,222,256,286,353.1,412.7,450.9,500.1,526.9,553,590","0,60,84,107,155,204.2,236.59,276.59"
