Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,62,15,5,"15, 1, 2, 3, 4, 8,12,14,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,99.758,74.4,1400.242,1425.6,3000,2825.842,1412.921,10,10,"0,79,176,229,296,350,374,397,449.4,481.79,498.79","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
1,63,15,6,"15, 1, 2, 3, 4, 5, 7, 8,12,14,19,20","6, 9,10,11,13,16,17,18",1800,1200,117.558,68.6,1682.442,1131.4,3000,2813.842,1406.921,12,8,"0,79,176,229,296,338,379,439,463,486,538.4,570.79,587.79","0,30,97.1,156.7,194.9,244.1,270.9,297,343"
1,64,15,7,"15, 1, 2, 3, 4, 5, 6, 9,10,11,13,14,19,20","7, 8,12,16,17,18",2100,900,147.538,42.26,1952.462,857.74,3000,2810.202,1405.101,14,6,"0,79,176,229,296,338,372,402,469.1,528.7,566.9,635.9,688.3,720.69,737.69","0,60,84,106.4,133.2,159.3,211.3"
1,65,15,8,"15, 1, 2, 3, 4, 5, 6, 7,10,12,14,19,20","8, 9,11,13,16,17,18",1950,1050,121.158,62.16,1828.842,987.84,3000,2816.682,1408.341,13,7,"0,79,176,229,296,338,372,389,416,481,504,556.4,588.79,605.79","0,78,98.5,136.7,185.9,212.7,238.8,310.8"
1,66,15,9,"15, 1, 2, 3, 4, 5, 6, 7, 8,12,14,16,17,19,20","9,10,11,13,18",2250,750,132.158,41.46,2117.842,708.54,3000,2826.382,1413.191,15,5,"0,79,176,229,296,338,372,389,449,473,496,523.5,550.3,611.4,643.79,660.79","0,67.1,126.7,164.9,188.3,207.3"
1,67,15,10,"15, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,14,20","10,11,13,16,17,18,19",1950,1050,132.718,59.38,1817.282,990.62,3000,2807.902,1403.951,13,7,"0,79,176,229,296,338,372,389,449,527,582,605,646.59,663.59","0,59.6,97.8,147,173.8,199.9,286.9,296.9"
1,68,15,11,"15, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,12,14,19,20","11,13,16,17,18",2250,750,156.778,36,2093.222,714,3000,2807.222,1403.611,15,5,"0,79,176,229,296,338,372,389,449,527,594.1,659.1,682.1,734.5,766.89,783.89","0,38.2,87.4,114.2,140.3,180"
1,69,15,12,"15, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,13,14,19,20","12,16,17,18",2400,600,172.538,24.66,2227.462,575.34,3000,2802.802,1401.401,16,4,"0,79,176,229,296,338,372,389,449,527,594.1,653.7,691.9,760.9,813.3,845.69,862.69","0,22.4,49.2,75.3,123.3"
1,70,15,13,"15, 1, 4, 8,12,14,20","13, 2, 3, 5, 6, 7, 9,10,11,16,17,18,19",1050,1950,51.918,138.04,998.082,1811.96,3000,2810.042,1405.021,7,13,"0,79,100,154,178,201,242.59,259.59","0,78,131,182,216,233,275,342.1,401.7,452.3,479.1,505.2,592.2,690.2"
1,71,15,14,"15, 1, 4, 5, 6, 7,10,12,20","14, 2, 3, 8, 9,11,13,16,17,18,19",1350,1650,72.11,106.16,1277.89,1543.84,3000,2821.73,1410.865,9,11,"0,79,100,142,176,193,220,285,343.55,360.55","0,58,111,153,231,251.5,289.7,338.9,365.7,391.8,478.8,530.8"
1,72,15,16,"15, 1, 4, 5, 9,10,11,13,14,20","16, 2, 3, 6, 7, 8,12,17,18,19",1500,1500,89.298,99.36,1410.702,1400.64,3000,2811.342,1405.671,10,10,"0,79,100,142,154,221.1,280.7,318.9,387.9,429.49,446.49","0,72,125,163,180,240,264,308,334.1,421.1,496.8"
1,73,15,17,"15, 2, 3, 6, 7, 8,12,14,19,20","17, 1, 4, 5, 9,10,11,13,16,18",1500,1500,78.358,126.24,1421.642,1373.76,3000,2795.402,1397.701,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,55,76,118,130,197.1,256.7,294.9,344.1,605.1,631.2"
1,74,15,18,"15, 2, 3, 6, 7, 8,10,12,14,19,20","18, 1, 4, 5, 9,11,13,16,17",1650,1350,101.058,56.76,1548.942,1293.24,3000,2842.182,1421.091,11,9,"0,75,128,166,183,243,315.5,380.5,403.5,455.9,488.29,505.29","0,48,69,111,123,143.5,181.7,230.9,257.7,283.8"
1,75,15,19,"15, 1, 4, 5, 8,12,14,20","19, 2, 3, 6, 7, 9,10,11,13,16,17,18",1200,1800,62.918,106.8,1137.082,1693.2,3000,2830.282,1415.141,8,12,"0,79,100,142,209,233,256,297.59,314.59","0,30,83,121,138,180,247.1,306.7,344.9,394.1,420.9,447,534"
1,76,15,20,"15, 2, 3, 6, 7, 8,12,14,19","20, 1, 4, 5, 9,10,11,13,16,17,18",1350,1650,78.28,101.954,1271.72,1548.046,3000,2819.766,1409.883,9,11,"0,75,128,166,183,243,267,290,342.4,391.4","0,79,100,142,154,221.1,280.7,318.9,368.1,394.9,421,509.77"
1,77,20,1,"20, 2, 3, 6, 7, 8,12,14,15,19","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,80.518,78,1419.482,1422,3000,2841.482,1420.741,10,10,"0,58,111,149,166,226,250,273,321,370.2,402.59","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
1,78,20,2,"20, 1, 4, 5, 9,10,11,13,16,17,18","2, 3, 6, 7, 8,12,14,15,19",1650,1350,101.954,68.44,1548.046,1281.56,3000,2829.606,1414.803,11,9,"0,79,100,142,154,221.1,280.7,318.9,368.1,394.9,421,509.77","0,53,91,108,168,192,215,263,312.2,342.2"
1,79,20,3,"20, 1, 2, 6, 7, 8,12,14,15,19","3, 4, 5, 9,10,11,13,16,17,18",1500,1500,91.718,90,1408.282,1410,3000,2818.282,1409.141,10,10,"0,79,176,205,222,282,306,329,377,426.2,458.59","0,67,109,121,188.1,247.7,285.9,335.1,361.9,388,450"
1,80,20,4,"20, 1, 2, 3, 6, 7, 8,12,14,15,19","4, 5, 9,10,11,13,16,17,18",1650,1350,104.118,71.6,1545.882,1278.4,3000,2824.282,1412.141,11,9,"0,79,176,229,267,284,344,368,391,439,488.2,520.59","0,42,54,121.1,180.7,218.9,268.1,294.9,321,358"
